from,to,level,major.class,synthesis.pathway,leading.name,enzyme.id,ensembl,hgnc.symbols,PMCID,URL,doi
Phospholipid,Arachidonic acid,0,Oxylipins,Arachidonic Acid Cascade,Phospholipase A2,PLA2G6,ENSG00000184381,"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?db=core;g=ENSG00000184381;r=22:38111495-38214778,10.1093/oxfordjournals.jbchem.a003101
Phospholipid,Docosahexaenoic acid,0,Oxylipins,Docosanoid Biosynthesis,Phospholipase A2,PLA2G6,ENSG00000184381,"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?db=core;g=ENSG00000184381;r=22:38111495-38214778,10.1093/oxfordjournals.jbchem.a003101
Phospholipid,Eicosapentaenoic acid,0,Oxylipins,Eicosanoid Biosynthesis,Phospholipase A2,PLA2G6,ENSG00000184381,"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?db=core;g=ENSG00000184381;r=22:38111495-38214778,10.1093/oxfordjournals.jbchem.a003101
Phospholipid,Docosapentaenoic acid,0,Oxylipins,Docosanoid Biosynthesis,Phospholipase A2,PLA2G6,ENSG00000184381,"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?db=core;g=ENSG00000184381;r=22:38111495-38214778,10.1093/oxfordjournals.jbchem.a003101
Phospholipid,Linoleic acid,0,Oxylipins,Octadecanoid Biosynthesis,Phospholipase A2,PLA2G6,ENSG00000184381,"PLA2G6,PLA2G5,PLA2G1B,PLA2G2A,PLA2G10",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?db=core;g=ENSG00000184381;r=22:38111495-38214778,10.1093/oxfordjournals.jbchem.a003101
Arachidonic acid,Hydroperoxyeicosatrienoic acid,1,Oxylipins,Arachidonic Acid Cascade,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Arachidonic acid,Prostaglandin,1,Oxylipins,Arachidonic Acid Cascade,Cyclooxygenase,PTGS2,ENSG00000073756,"PTGS1,PTGS2",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000073756;r=1:186671791-186680922,
Arachidonic acid,Epoxyeicosatrienoic acid,1,Oxylipins,Arachidonic Acid Cascade,CYP450 monooxygenase families C/J,CYP2J2,ENSG00000134716,"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18",,https://www.ncbi.nlm.nih.gov/gene/1573,10.1073/pnas.1521453113
Arachidonic acid,Hydroxyeicosatrienoic acid,1,Oxylipins,Arachidonic Acid Cascade,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Hydroperoxyeicosatrienoic acid,Leukotriene,2,Oxylipins,Arachidonic Acid Cascade,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Hydroperoxyeicosatrienoic acid,Hydroxyeicosatrienoic acid,2,Oxylipins,Arachidonic Acid Cascade,Glutathione peroxidase,GPX1,ENSG00000233276,"GPX1, GPX2, GPX4",,https://www.ncbi.nlm.nih.gov/gene/2876,
Hydroxyeicosatrienoic acid,Oxoeicosatrienoic acid,3,Oxylipins,Arachidonic Acid Cascade,Hydroxyeicosanoid dehydrogenase,DHRS7,ENSG00000100612,DHRS7,,https://www.ncbi.nlm.nih.gov/gene/51635,
Hydroxyeicosatrienoic acid,Dihydroxyeicosatrienoic acid,3,Oxylipins,Arachidonic Acid Cascade,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Hydroxyeicosatrienoic acid,Lipoxin,3,Oxylipins,Arachidonic Acid Cascade,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Epoxyeicosatrienoic acid,Dihydroxyeicosatrienoic acid,2,Oxylipins,Arachidonic Acid Cascade,soluble epoxide hydrolase,EPHX2,ENSG00000120915,EPHX2,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120915;r=8:27490781-27545564,
Prostaglandin,Thromboxane/PTG Derivatives,2,Oxylipins,Arachidonic Acid Cascade,Cyclooxygenase,TBXAS1,ENSG00000059377,"TBXAS1,PTGDS,PTGFR,PTGIS,PTGIR,CYP5A1,PTGES,PTGDR, HPGD",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000059377;r=7:139777051-140020325,
Docosahexaenoic acid,Hydroperoxydocosahexaenoic acid,1,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Docosahexaenoic acid,Epoxydocosahexaenoic acid,1,Oxylipins,Docosanoid Biosynthesis,CYP450 monooxygenase families C/J,CYP2J2,ENSG00000134716,"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18",,https://www.ncbi.nlm.nih.gov/gene/1573,10.1073/pnas.1521453113
Hydroperoxydocosahexaenoic acid,Hydroxydocosahexaenoic acid,2,Oxylipins,Docosanoid Biosynthesis,Glutathione peroxidase,GPX1,ENSG00000233276,"GPX1, GPX2, GPX4",,https://www.ncbi.nlm.nih.gov/gene/2876,
Hydroperoxydocosahexaenoic acid,Resolvin D,2,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,ALOX5,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Hydroxydocosahexaenoic acid,Dihydroxydocosahexaenoic acid,3,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Epoxydocosahexaenoic acid,Dihydroxydocosahexaenoic acid,3,Oxylipins,Docosanoid Biosynthesis,soluble epoxide hydrolase,EPHX2,ENSG00000120915,EPHX2,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120915;r=8:27490781-27545564,
Hydroperoxydocosahexaenoic acid,Protectin D,2,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX15,ENSG00000161905,ALOX15,,https://www.ncbi.nlm.nih.gov/gene/246,https://doi.org/10.1016/j.bcp.2022.115330
Eicosapentaenoic acid,Hydroperoxyeicosapentaenoic acid,1,Oxylipins,Eicosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Eicosapentaenoic acid,Epoxyeicosatetraenoic acid,1,Oxylipins,Eicosanoid Biosynthesis,CYP450 monooxygenase families C/J,CYP2J2,ENSG00000134716,"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18",,https://www.ncbi.nlm.nih.gov/gene/1573,10.1073/pnas.1521453113
Hydroperoxyeicosapentaenoic acid,Hydroxyeicosapentaenoic acid,2,Oxylipins,Eicosanoid Biosynthesis,Glutathione peroxidase,GPX1,ENSG00000233276,"GPX1, GPX2, GPX4",,https://www.ncbi.nlm.nih.gov/gene/2876,
Hydroperoxyeicosapentaenoic acid,Resolvin E,2,Oxylipins,Eicosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,ALOX5,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Hydroxyeicosapentaenoic acid,Dihydroxyeicosapentaenoic acid,3,Oxylipins,Eicosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Epoxyeicosatetraenoic acid,Dihydroxyeicosapentaenoic acid,2,Oxylipins,Eicosanoid Biosynthesis,soluble epoxide hydrolase,EPHX2,ENSG00000120915,EPHX2,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120915;r=8:27490781-27545564,
Docosapentaenoic acid,Hydroperoxydocosapentaenoic acid,1,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Docosapentaenoic acid,Epoxydocosapentaenoic acid,1,Oxylipins,Docosanoid Biosynthesis,CYP450 monooxygenase families C/J,CYP2J2,ENSG00000134716,"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18",,https://www.ncbi.nlm.nih.gov/gene/1573,10.1073/pnas.1521453113
Hydroperoxydocosapentaenoic acid,Hydroxydocosapentaenoic acid,2,Oxylipins,Docosanoid Biosynthesis,Glutathione peroxidase,GPX1,ENSG00000233276,"GPX1, GPX2, GPX4",,https://www.ncbi.nlm.nih.gov/gene/2876,
Hydroperoxydocosapentaenoic acid,Resolvin T,2,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,ALOX5,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Hydroxydocosapentaenoic acid,Dihydroxydocosapentaenoic acid,3,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Epoxydocosapentaenoic acid,Dihydroxydocosapentaenoic acid,2,Oxylipins,Docosanoid Biosynthesis,soluble epoxide hydrolase,EPHX2,ENSG00000120915,EPHX2,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120915;r=8:27490781-27545564,
Hydroperoxydocosahexaenoic acid,Maresin,2,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX12,ENSG00000108839,"ALOX12, EPHX2",,https://www.ncbi.nlm.nih.gov/gene/239,
Linoleic acid,Hydroperoxyoctadecadienoic acid,1,Oxylipins,Octadecanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Linoleic acid,Epoxyoctadecenoic acid,1,Oxylipins,Octadecanoid Biosynthesis,CYP450 monooxygenase families C/J,CYP2J2,ENSG00000134716,"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18",,https://www.ncbi.nlm.nih.gov/gene/1573,10.1073/pnas.1521453113
Hydroperoxyoctadecadienoic acid,Hydroxyoctadecadienoic acid,2,Oxylipins,Octadecanoid Biosynthesis,Glutathione peroxidase,GPX1,ENSG00000233276,"GPX1, GPX2, GPX4",,https://www.ncbi.nlm.nih.gov/gene/2876,
Hydroxyoctadecadienoic acid,Dihydroxyoctadecadienoic acid,3,Oxylipins,Octadecanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Epoxyoctadecenoic acid,Dihydroxyoctadecadienoic acid,2,Oxylipins,Octadecanoid Biosynthesis,soluble epoxide hydrolase,EPHX2,ENSG00000120915,EPHX2,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120915;r=8:27490781-27545564,
Dihydroxyoctadecadienoic acid,Trihydroxyoctadecenoic acid,4,Oxylipins,Octadecanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
